method,dataset,metric,value
PI-NPZ,baseline,Computational Time (s),1.2040026187896729
PI-NPZ,baseline,Computational Time (s),1.6464688777923584
PI-NPZ,baseline,Computational Time (s),1.350832223892212
PI-NPZ,baseline,Computational Time (s),1.1375327110290527
PI-NPZ,baseline,Computational Time (s),1.3149304389953613
PI-NPZ,baseline,Computational Time (s),1.2303671836853027
PI-NPZ,baseline,Computational Time (s),1.5012190341949463
PI-NPZ,baseline,Computational Time (s),1.50528883934021
PI-NPZ,baseline,Computational Time (s),1.1084034442901611
PI-NPZ,baseline,Computational Time (s),1.070688247680664
PI-NPZ,baseline,Computational Time (s),1.1994621753692627
PI-NPZ,baseline,Computational Time (s),1.0453579425811768
PI-NPZ,baseline,Computational Time (s),1.052208423614502
PI-NPZ,baseline,Computational Time (s),1.498453140258789
PI-NPZ,baseline,Computational Time (s),1.0742802619934082
PI-NPZ,baseline,Computational Time (s),1.303713083267212
PI-NPZ,baseline,Computational Time (s),1.0731842517852783
PI-NPZ,baseline,Computational Time (s),1.1392202377319336
PI-NPZ,baseline,Computational Time (s),1.2362971305847168
PI-NPZ,baseline,Computational Time (s),1.190948724746704
PI-NPZ,baseline,Computational Time (s),1.0588440895080566
PI-NPZ,baseline,Computational Time (s),1.2716116905212402
PI-NPZ,baseline,Computational Time (s),1.086308240890503
PI-NPZ,baseline,Computational Time (s),1.4778318405151367
PI-NPZ,baseline,Computational Time (s),0.9818623065948486
PI-NPZ,baseline,Computational Time (s),1.276268482208252
PI-NPZ,baseline,Computational Time (s),1.1720380783081055
PI-NPZ,baseline,Computational Time (s),1.2838566303253174
PI-NPZ,baseline,Computational Time (s),0.9632053375244141
PI-NPZ,baseline,Computational Time (s),1.3547828197479248
PI-NPZ,baseline,Computational Time (s),1.1257708072662354
PI-NPZ,baseline,Computational Time (s),1.0716705322265625
PI-NPZ,baseline,Computational Time (s),1.0441501140594482
PI-NPZ,baseline,Computational Time (s),1.5375769138336182
PI-NPZ,baseline,Computational Time (s),1.0877888202667236
PI-NPZ,baseline,Computational Time (s),1.1854076385498047
PI-NPZ,baseline,Computational Time (s),1.2014100551605225
PI-NPZ,baseline,Computational Time (s),1.6066105365753174
PI-NPZ,baseline,Computational Time (s),1.5034637451171875
PI-NPZ,baseline,Computational Time (s),1.1748478412628174
PI-NPZ,baseline,Computational Time (s),1.2489583492279053
PI-NPZ,baseline,Computational Time (s),1.221144199371338
PI-NPZ,baseline,Computational Time (s),1.4012274742126465
PI-NPZ,baseline,Computational Time (s),1.2671515941619873
PI-NPZ,baseline,Computational Time (s),1.3078508377075195
PI-NPZ,baseline,Computational Time (s),1.1938261985778809
PI-NPZ,baseline,Computational Time (s),1.1087398529052734
PI-NPZ,baseline,Computational Time (s),1.1429684162139893
PI-NPZ,baseline,Computational Time (s),1.367967128753662
PI-NPZ,baseline,Computational Time (s),1.3064489364624023
PI-NPZ,baseline,Computational Time (s),1.0824096202850342
PI-NPZ,baseline,Computational Time (s),1.141791820526123
PI-NPZ,baseline,Computational Time (s),1.14974045753479
PI-NPZ,baseline,Computational Time (s),1.0578041076660156
PI-NPZ,baseline,Computational Time (s),1.0396411418914795
PI-NPZ,baseline,Computational Time (s),1.1176326274871826
PI-NPZ,baseline,Computational Time (s),1.1109604835510254
PI-NPZ,baseline,Computational Time (s),1.4946744441986084
PI-NPZ,baseline,Computational Time (s),1.1437740325927734
PI-NPZ,baseline,Computational Time (s),1.140674114227295
PI-NPZ,baseline,Computational Time (s),1.1121301651000977
PI-NPZ,baseline,Computational Time (s),1.1420249938964844
PI-NPZ,baseline,Computational Time (s),1.0210366249084473
PI-NPZ,baseline,Computational Time (s),1.206730604171753
PI-NPZ,baseline,Computational Time (s),1.1093993186950684
PI-NPZ,baseline,Computational Time (s),1.3397057056427002
PI-NPZ,baseline,Computational Time (s),1.069248914718628
PI-NPZ,baseline,Computational Time (s),1.1308212280273438
