method,dataset,metric,value
NN-NPZ,baseline,Computational Time (s),0.9639201164245605
NN-NPZ,baseline,Computational Time (s),0.9839730262756348
NN-NPZ,baseline,Computational Time (s),1.2800827026367188
NN-NPZ,baseline,Computational Time (s),1.1379446983337402
NN-NPZ,baseline,Computational Time (s),0.9383561611175537
NN-NPZ,baseline,Computational Time (s),1.0394606590270996
NN-NPZ,baseline,Computational Time (s),0.9517297744750977
NN-NPZ,baseline,Computational Time (s),1.0945701599121094
NN-NPZ,baseline,Computational Time (s),0.9676392078399658
NN-NPZ,baseline,Computational Time (s),0.9850554466247559
NN-NPZ,baseline,Computational Time (s),0.9343867301940918
NN-NPZ,baseline,Computational Time (s),1.1672022342681885
NN-NPZ,baseline,Computational Time (s),0.9812848567962646
NN-NPZ,baseline,Computational Time (s),1.3732199668884277
NN-NPZ,baseline,Computational Time (s),1.0235519409179688
NN-NPZ,baseline,Computational Time (s),1.0951542854309082
NN-NPZ,baseline,Computational Time (s),0.9960341453552246
NN-NPZ,baseline,Computational Time (s),1.0346055030822754
NN-NPZ,baseline,Computational Time (s),1.4605913162231445
NN-NPZ,baseline,Computational Time (s),1.3502380847930908
NN-NPZ,baseline,Computational Time (s),1.3647706508636475
NN-NPZ,baseline,Computational Time (s),1.0226025581359863
NN-NPZ,baseline,Computational Time (s),1.0664629936218262
NN-NPZ,baseline,Computational Time (s),0.9877157211303711
NN-NPZ,baseline,Computational Time (s),1.3955233097076416
NN-NPZ,baseline,Computational Time (s),1.116804838180542
NN-NPZ,baseline,Computational Time (s),1.3011045455932617
NN-NPZ,baseline,Computational Time (s),0.9214229583740234
NN-NPZ,baseline,Computational Time (s),1.3224079608917236
NN-NPZ,baseline,Computational Time (s),0.9935417175292969
NN-NPZ,baseline,Computational Time (s),1.219611644744873
NN-NPZ,baseline,Computational Time (s),1.0069093704223633
NN-NPZ,baseline,Computational Time (s),1.2275924682617188
NN-NPZ,baseline,Computational Time (s),1.01841402053833
NN-NPZ,baseline,Computational Time (s),0.9461030960083008
NN-NPZ,baseline,Computational Time (s),0.9100232124328613
NN-NPZ,baseline,Computational Time (s),1.273512363433838
NN-NPZ,baseline,Computational Time (s),1.0929255485534668
NN-NPZ,baseline,Computational Time (s),1.0102005004882812
NN-NPZ,baseline,Computational Time (s),1.0026612281799316
NN-NPZ,baseline,Computational Time (s),1.0386958122253418
NN-NPZ,baseline,Computational Time (s),1.01869797706604
NN-NPZ,baseline,Computational Time (s),1.0812315940856934
NN-NPZ,baseline,Computational Time (s),1.0332937240600586
NN-NPZ,baseline,Computational Time (s),0.9475183486938477
